relative_path,search_query,source_url,status,reason
canned-food\065-sardine-anny-vegetable-oil-125g.jpg,,,failed,No search results
canned-food\066-sardine-anny-vegetable-oil-and-piment-125g.jpg,,,failed,No search results
canned-food\067-titus-sardines-soya-oil.jpg,,,failed,No search results
canned-food\069-geisha-mackerel-red-425g.jpg,,,failed,No search results
canned-food\070-geisha-mackerel-green-425g.jpg,,,failed,No search results
canned-food\072-bom-petisco-tuna.jpg,,,failed,No search results
canned-food\074-spam-gochujang.jpg,,,failed,No search results
canned-food\075-geisha-jack-mackerel-chinchard.jpg,,,failed,No search results
cosmetics\223-caro-light-cream.jpg,,,failed,No search results
cosmetics\224-caro-light-lotion.jpg,,,failed,No search results
cosmetics\225-clinic-clear-whitening-body-lotion.jpg,,,failed,No search results
cosmetics\226-paw-paw-lait-clarifiant.jpg,,,failed,No search results
cosmetics\227-paw-paw-cream-jar.jpg,,,failed,No search results
cosmetics\228-bio-plus-papaya-lotion.jpg,,,failed,No search results
cosmetics\229-aloe-vera-body-lotion.jpg,,,failed,No search results
cosmetics\230-dermaclar-body-lotion.jpg,,,failed,No search results
cosmetics\231-cocopulp-cream.jpg,,,failed,No search results
cosmetics\233-rapid-clair.jpg,,,failed,No search results
cosmetics\234-extra-clair.jpg,,,failed,No search results
cosmetics\235-miki-clair.jpg,,,failed,No search results
cosmetics\236-belleza-creme.jpg,,,failed,No search results
cosmetics\237-ub-cream-jar.jpg,,,failed,No search results
cosmetics\239-talc-powder.jpg,,,failed,No search results
cosmetics\240-confo-perfume-oil.jpg,,,failed,No search results
drinks\157-sumol-orange-drink-can.jpg,,,failed,No search results
drinks\158-sumol-pineapple-drink-can.jpg,,,failed,No search results
drinks\159-sagres-mineral-water.jpg,,,failed,No search results
drinks\161-guarana-antarctica-zero.jpg,,,failed,No search results
drinks\162-malta-guinness-330ml.jpg,,,failed,No search results
drinks\163-makaya-banane-591ml.jpg,,,failed,No search results
drinks\164-cola-couronne-fruit-champagne-200ml.jpg,,,failed,No search results
drinks\165-cola-couronne-fruit-champagne-2l.jpg,,,failed,No search results
drinks\166-the-popshoppe-rocket-blast-355ml.jpg,,,failed,No search results
drinks\167-the-popshoppe-pineapple-355ml.jpg,,,failed,No search results
drinks\168-the-popshoppe-cotton-candy-355ml.jpg,,,failed,No search results
drinks\169-the-popshoppe-lime-ricky-355ml.jpg,,,failed,No search results
drinks\170-the-popshoppe-cream-soda-355ml.jpg,,,failed,No search results
drinks\171-basil-seed-cocktail-290ml.jpg,,,failed,No search results
drinks\172-basil-seed-kiwi-290ml.jpg,,,failed,No search results
drinks\173-basil-seed-strawberry-290ml.jpg,,,failed,No search results
drinks\175-basil-seed-lychee-290ml.jpg,,,failed,No search results
drinks\176-basil-seed-mango-290ml.jpg,,,failed,No search results
drinks\177-calypso-island-wave-lemonade-473ml.jpg,,,failed,No search results
drinks\179-calypso-paradise-punch-lemonade-473ml.jpg,,,failed,No search results
drinks\180-twist-and-drink-cherry-200ml.jpg,,,failed,No search results
drinks\181-twist-and-drink-wildberry-200ml.jpg,,,failed,No search results
drinks\182-compal-vital-mango-orange.jpg,,,failed,No search results
drinks\184-compal-pear-nectar.jpg,,,failed,No search results
drinks\187-compal-fresh-100-orange.jpg,,,failed,No search results
drinks\188-compal-vital-orange-carrot-mango.jpg,,,failed,No search results
drinks\189-compal-fresh-100-apple.jpg,,,failed,No search results
drinks\190-compal-passionfruit-fresh.jpg,,,failed,No search results
drinks\191-compal-passion-fruit-mango.jpg,,,failed,No search results
drinks\192-compal-multi-fruit-nectar.jpg,,,failed,No search results
drinks\193-compal-pineapple-nectar.jpg,,,failed,No search results
drinks\194-compal-light-pine-coconut.jpg,,,failed,No search results
