relative_path,final_query_used,source_url,status,reason
canned-food\067-titus-sardines-soya-oil.jpg,Titus sardines soya oil canned food package,,failed,No valid image found
canned-food\072-bom-petisco-tuna.jpg,Bom petisco tuna canned food package,,failed,No valid image found
cosmetics\227-paw-paw-cream-jar.jpg,Paw cream jar cream lotion product,,failed,No valid image found
cosmetics\228-bio-plus-papaya-lotion.jpg,Bio plus papaya lotion cream lotion product,https://auramart.lk/storage/post-images/1706090605_bio-glow-papaya-moisturizing-cream-500ml_img_1.jpg,success,
cosmetics\229-aloe-vera-body-lotion.jpg,Aloe vera body lotion cream lotion product,,failed,No valid image found
cosmetics\230-dermaclar-body-lotion.jpg,Dermaclar body lotion cream lotion product,,failed,No valid image found
cosmetics\231-cocopulp-cream.jpg,Cocopulp cream cream lotion product,,failed,No valid image found
cosmetics\235-miki-clair.jpg,Miki clair cream lotion product,,failed,No valid image found
cosmetics\239-talc-powder.jpg,Talc powder cream lotion product,,failed,No valid image found
canned-food\067-titus-sardines-soya-oil.jpg,Titus sardines soya oil canned food package,,failed,No valid image found
cosmetics\240-confo-perfume-oil.jpg,Confo perfume oil cream lotion product,,failed,No valid image found
canned-food\072-bom-petisco-tuna.jpg,Bom petisco tuna canned food package,,failed,No valid image found
drinks\157-sumol-orange-drink-can.jpg,Sumol orange drink can drink bottle can,,failed,No valid image found
cosmetics\227-paw-paw-cream-jar.jpg,Paw cream jar cream lotion product,,failed,No valid image found
drinks\158-sumol-pineapple-drink-can.jpg,Sumol pineapple drink can drink bottle can,,failed,No valid image found
cosmetics\229-aloe-vera-body-lotion.jpg,Aloe vera body lotion cream lotion product,,failed,No valid image found
drinks\161-guarana-antarctica-zero.jpg,Guarana antarctica zero drink bottle can,,failed,No valid image found
cosmetics\230-dermaclar-body-lotion.jpg,Dermaclar body lotion cream lotion product,,failed,No valid image found
drinks\164-cola-couronne-fruit-champagne-200ml.jpg,Cola couronne fruit champagne 200ml drink bottle can,,failed,No valid image found
